Image_ID,Computer_Time,ROS_Time_Stamp,Chunk_Frame_ID,Chunk_Time,Latitude,Longitude,Direction,Camera_Long,Camera_Lat,Assigned_Row,FOV_Center_Long,FOV_Center_Lat,FOV_Left_Long,FOV_Left_Lat,FOV_Right_Long,FOV_Right_Lat,Covered_Vines
3188,2024-09-20-15-07-52-211,1726859272,3299,2160000000000.0,42.89409317,-77.01101825,B,-77.01102751002615,42.894093936358296,12,-77.01102922531055,42.8940942055985,-77.01102920748045,42.8940932735471,-77.01102924723565,42.89409535171129,"12-29,12-30"
3189,2024-09-20-15-07-52-733,1726859273,3300,2160000000000.0,42.89409758,-77.01101757,B,-77.01102687019639,42.894098012606946,12,-77.01102930228113,42.894098229159454,-77.01102927651458,42.89409688223804,-77.01102933152374,42.894099757788084,12-29
3190,2024-09-20-15-07-53-256,1726859273,3301,2160000000000.0,42.89410058,-77.01101731,B,-77.01102662576268,42.894100757823296,12,-77.01102935250961,42.894100854803355,-77.01102932297287,42.89409931079993,-77.01102938399411,42.89410250062466,12-29
3191,2024-09-20-15-07-53-778,1726859274,3302,2160000000000.0,42.89410536,-77.01101714,B,-77.0110264554537,42.89410554632818,12,-77.01102944507001,42.89410569330645,-77.0110294128879,42.894104011018456,-77.01102947992452,42.894107515291324,12-29
3192,2024-09-20-15-07-54-300,1726859274,3303,2160000000000.0,42.89411019,-77.01101696,B,-77.01102625244326,42.894109675668695,12,-77.01102951486072,42.894109341547136,-77.01102947628448,42.89410732501198,-77.01102954986987,42.89411117161581,12-29
3193,2024-09-20-15-07-54-822,1726859275,3304,2160000000000.0,42.89411339,-77.01101729,B,-77.01102659592179,42.89411302944921,12,-77.01102958148422,42.89411282422523,-77.0110295470687,42.89411102518749,-77.01102961396687,42.894114522223035,12-29
3194,2024-09-20-15-07-55-344,1726859275,3305,2160000000000.0,42.8941181,-77.01101763,B,-77.01102694857039,42.894118159719135,12,-77.0110296841805,42.89411819257112,-77.01102965419454,42.894116625085374,-77.01102971527592,42.89411981805359,
3195,2024-09-20-15-07-55-866,1726859276,3306,2160000000000.0,42.89412145,-77.01101759,B,-77.01102690891297,42.894121462023215,12,-77.01102974790248,42.89412152357493,-77.01102971693916,42.894119904998014,-77.01102978037625,42.89412322110858,
3196,2024-09-20-15-07-56-391,1726859276,3307,2160000000000.0,42.89412561,-77.01101758,B,-77.01102679716645,42.89412661617966,12,-77.01102985728521,42.89412724144899,-77.01102982571156,42.894125590967434,-77.01102989836386,42.89412938879449,12-27
3197,2024-09-20-15-07-56-913,1726859277,3308,2160000000000.0,42.89413033,-77.01101662,B,-77.01102578959096,42.89413154733574,12,-77.01102996609404,42.89413292932312,-77.011029922935,42.894130673226265,-77.0110300315699,42.89413635200868,12-27
3198,2024-09-20-15-07-57-434,1726859277,3309,2160000000000.0,42.89413316,-77.01101592,B,-77.01102523865558,42.89413321231717,12,-77.0110299732808,42.89413330500382,-77.01102992158734,42.89413060277879,-77.01103002736282,42.89413613208789,12-27
3199,2024-09-20-15-07-57-957,1726859278,3310,2160000000000.0,42.89413794,-77.01101587,B,-77.01102515713565,42.894137376523254,12,-77.01103004062266,42.89413682523227,-77.01102998238846,42.89413378109787,-77.011030092831,42.894139554372714,12-27
3200,2024-09-20-15-07-58-478,1726859278,3311,2160000000000.0,42.89414254,-77.01101639,B,-77.01102566703516,42.89414189335322,12,-77.01103012658595,42.89414131887883,-77.01103007269381,42.89413850172071,-77.01103017401277,42.89414379806931,12-27
3201,2024-09-20-15-07-59-002,1726859279,3312,2160000000000.0,42.89414562,-77.01101679,B,-77.01102604145514,42.89414479991433,12,-77.01103018036613,42.89414413018497,-77.01103012885558,42.894141437521235,-77.01103022398536,42.89414641033642,"12-26,12-27"
3202,2024-09-20-15-07-59-524,1726859280,3313,2170000000000.0,42.89415004,-77.01101752,B,-77.01102682114336,42.89414961836839,12,-77.01103027980146,42.894149328067954,-77.01103023948498,42.894147220563596,-77.01103031718611,42.89415128231335,12-26
3203,2024-09-20-15-08-00-046,1726859280,3314,2170000000000.0,42.894153,-77.01101777,B,-77.011027059375,42.89415245667548,12,-77.01103033290649,42.89415210408067,-77.01103029403441,42.89415007208148,-77.01103036796714,42.89415393684139,12-26
3204,2024-09-20-15-08-00-567,1726859281,3315,2170000000000.0,42.89415768,-77.01101828,B,-77.01102759025382,42.89415738541663,12,-77.01103043076391,42.894157219480725,-77.01103039825783,42.89415552025757,-77.0110304618154,42.894158842666165,12-26
3205,2024-09-20-15-08-01-090,1726859281,3316,2170000000000.0,42.89416226,-77.01101855,B,-77.01102786709636,42.89416212443944,12,-77.01103052331328,42.89416205740734,-77.01103049356938,42.89416050257492,-77.0110305528462,42.894163601211176,"12-25,12-26"
3206,2024-09-20-15-08-01-612,1726859282,3317,2170000000000.0,42.89416558,-77.01101864,B,-77.01102795741322,42.894165703339304,12,-77.01103059432252,42.894165769345506,-77.0110305656117,42.894164268516015,-77.01103062455203,42.894167349563205,12-25
3207,2024-09-20-15-08-02-136,1726859282,3318,2170000000000.0,42.89417004,-77.01101853,B,-77.01102784251921,42.89417029328822,12,-77.0110306836761,42.89417044021506,-77.01103065312655,42.894168843268,-77.01103071686144,42.894172174946135,12-25
3208,2024-09-20-15-08-02-658,1726859283,3319,2170000000000.0,42.894173,-77.01101838,B,-77.0110276801225,42.89417343358947,12,-77.01103074609864,42.89417370329209,-77.01103071360394,42.89417200466405,-77.01103078293055,42.89417562864345,12-25
3209,2024-09-20-15-08-03-180,1726859283,3320,2170000000000.0,42.89417772,-77.01101797,B,-77.01102728446797,42.894177931385435,12,-77.01103083025681,42.89417810257766,-77.0110307920727,42.894176106540414,-77.01103087156903,42.89418026213301,"12-24,12-25"
3210,2024-09-20-15-08-03-703,1726859284,3321,2170000000000.0,42.89418245,-77.01101777,B,-77.01102708040699,42.89418215796257,12,-77.01103090380325,42.89418194714429,-77.01103086014803,42.89417966511114,-77.01103094566452,42.89418413540092,12-24
3211,2024-09-20-15-08-04-224,1726859284,3322,2170000000000.0,42.89418553,-77.01101795,B,-77.01102726874636,42.89418557368174,12,-77.01103097382158,42.89418560728309,-77.01103093314524,42.89418348096807,-77.01103101585836,42.894187804715145,12-24
3212,2024-09-20-15-08-04-747,1726859285,3323,2170000000000.0,42.89419011,-77.01101791,B,-77.01102722831962,42.894190031362726,12,-77.01103105819351,42.89419001774258,-77.0110310158533,42.894187804450254,-77.0110311013098,42.894192271604176,12-24
3213,2024-09-20-15-08-05-268,1726859285,3324,2170000000000.0,42.89419329,-77.01101796,B,-77.0110272376246,42.8941926478488,12,-77.01103109898162,42.8941921499011,-77.01103105231296,42.89418971034282,-77.01103114004496,42.8941942964467,"12-23,12-24"
3214,2024-09-20-15-08-05-791,1726859286,3325,2170000000000.0,42.89419771,-77.01101853,B,-77.01102780619819,42.89419705687733,12,-77.01103118492203,42.89419664235112,-77.01103114430295,42.894194519028694,-77.01103122092456,42.89419852434751,12-23
3215,2024-09-20-15-08-06-314,1726859286,3326,2170000000000.0,42.89420236,-77.01101914,B,-77.01102845891073,42.89420237701241,12,-77.01103129481096,42.89420238668598,-77.01103126358103,42.894200754172395,-77.01103132687295,42.89420406269481,12-23
3216,2024-09-20-15-08-06-836,1726859287,3327,2170000000000.0,42.8942053,-77.01101913,B,-77.0110284489401,42.8942053,12,-77.01103135061781,42.89420530393382,-77.01103131862722,42.89420363165742,-77.01103138338203,42.89420701665143,12-23
